   Counter   Asymmetry      DeltaX      DeltaY
         1  1386.66418   -65.34621    39.52633
         2  -210.36879    59.84247    -7.18846
         3   410.79248    14.33488    20.85739
         4   527.77545    -4.68302   -13.65076
         5  1095.41370    13.97335    31.04221
         6   623.08813    62.92122    49.31903
         7  -190.06360    37.75665    21.14607
         8  1939.13281   -10.77826    45.07940
         9    -1.54385    37.54293   -14.03517
        10   618.05817   -40.40414     9.78666
        11   422.83569    97.29043    25.57846
        12   304.48129   -10.68647    18.50347
        13  1606.61401    76.49609    70.49316
        14 -1099.34485   -68.32489   -24.32230
        15 -1597.80530   -31.40388   -94.98255
        16  -218.10519    34.88482    -9.59574
        17 -1052.88416    51.40057    -4.85872
        18  -501.12833    38.83989     2.25813
        19  1445.29883   -54.97129    11.53315
        20  1195.26099   -17.85821    47.32388
        21  -595.45367   -45.62318    12.02899
        22  -570.92749   -21.33677   -39.66006
        23  1180.77429    -7.93822    49.50248
        24   390.69461    36.95892    22.05206
        25   566.71588   110.87177    24.84506
        26  -770.25928   -43.27670     9.41045
        27   -64.21332    10.45172    -5.77007
        28   367.13416    46.57574    68.79076
        29  -857.92273    41.90621   -29.04000
        30  -280.26501   -29.92859   -30.02350
        31   221.59056  -124.75331   -40.24459
        32  2004.36743    22.94842    66.30450
        33   -98.28062    43.28586   -17.11567
        34  -101.73359    47.63924    15.08989
        35   162.85854    32.44089    42.24797
        36  -773.79041   -62.89461   -10.38529
        37  -732.14716   -94.01477   -72.61807
        38 -1162.29346   -64.86007     1.72568
        39  -853.41876   -39.64748   -26.09872
        40  -266.40146   -43.49276   -32.97802
        41 -2842.79346    45.56099   -68.49187
        42 -1418.19092    -9.33778    15.82265
        43   185.61349   -38.13889   -10.37514
        44   -51.18798    56.58849     6.10374
        45    81.91335    -3.12612   -26.61470
        46  -524.61096   124.71522    40.57661
        47    92.69235     3.11733    10.39717
        48  -622.52594     0.28422    20.98316
        49   545.07953   -64.37156   -12.27301
        50  1919.80298    -3.91283     5.97990
        51  -995.97955     9.48789   -52.11330
        52   458.60788    -6.16779    21.77307
        53   251.21727    42.74627    -3.92879
        54     2.19319    52.91536    -4.54545
        55  -411.42151   -62.23575   -11.51936
        56  1379.08276    87.58348    63.28613
        57   -40.32022   138.77768    -2.55237
        58   768.28229    37.59051    56.18136
        59 -1983.29883  -138.61862   -85.54275
        60  -568.19183   -47.60759   -46.64830
        61  -109.02038   -66.84959    -6.39313
        62 -1292.28149   -16.24935     1.38837
        63    -9.62764    42.40058     7.77747
        64  -554.46698   -39.88047    -6.30114
        65  1783.72314     4.36811    61.80236
        66  -142.31953    -0.71801    21.83637
        67   705.21368   -75.85247   -52.73352
        68  1148.81055    74.79436    17.35115
        69  -196.41104    32.85507    11.03430
        70 -2315.36377   -55.54220   -66.17144
        71  -270.82605    11.78631    19.18991
        72   405.17703   -35.86700     1.30234
        73    76.92051    29.04039    30.47200
        74    81.63937   -38.69160    -4.05782
        75  -281.49652   -25.28519   -40.17434
        76   677.13263   -84.67458     3.23198
        77   353.84705  -109.47783   -30.78193
        78 -2015.17737    39.69473   -50.27071
        79   700.62500   -19.58702    39.05904
        80  -375.47812    27.24879    19.10130
        81   548.31628    72.83455    25.47791
        82   489.37143  -127.14483    14.21469
        83 -1739.82324    60.21710    -8.06494
        84    36.20815  -119.89709   -41.89202
        85   421.32080  -106.00749    -9.66113
        86 -1438.28870    14.37123   -20.38000
        87  -163.58675    10.58718   -21.03986
        88   874.58453    49.69291    35.94151
        89  -798.56451  -103.25616   -40.97397
        90  -967.15576  -123.43289   -78.14185
        91  -421.59274   -13.24328   -56.48931
        92   442.45822   -79.48270    -6.97436
        93 -1148.48047   -22.09184    20.12289
        94   836.76324   133.67274    34.99900
        95   -83.73399   152.57579    -2.10805
        96   110.28532   -22.47822    14.48586
        97   653.19177     5.38024    52.71710
        98  1015.54504     3.97245    41.77111
        99   229.85562    31.83063    13.75920
       100  1678.60876     3.01320    71.31666
       101  -971.98755   -69.81709   -46.34168
       102  1917.18970   112.61131    63.89582
       103  -153.19446  -106.63574    -9.77546
       104 -1271.83594   -16.41152   -59.33181
       105  -325.76767    68.60522     6.13466
       106   513.82269   174.82605    40.95210
       107  1846.18872   -26.19724    48.21236
       108   181.89017    47.73674    23.26044
       109  -681.55481   -30.37416    -5.99559
       110   961.71118     1.79486    18.47337
       111   533.58160   -39.54651   -28.34279
       112 -1144.74084   -18.87582   -35.11215
       113    85.64320   -22.30158   -17.94523
       114   788.90533    34.74800    60.09614
       115  1438.17004   -25.11201    64.07324
       116 -1638.56738   -51.55520   -69.98235
       117   902.44745   -45.35122    -6.17182
       118   -68.21761   -82.63435   -41.06819
       119    95.31548   -94.97308     5.65496
       120   405.39175    55.15507    27.33424
       121  -794.44031    27.79978    11.32734
       122   523.28241    63.46076    45.35043
       123  -171.06894    23.51613    -0.73224
       124   628.85858     5.55545    -4.19082
       125  -865.54102   -87.51548   -47.44197
       126   923.33923   -88.39900   -24.09040
       127 -1206.63281   -31.13538   -26.19913
       128  1071.77795   -87.93008    38.93834
       129  1175.63892   -15.45359    29.36991
       130  1237.01489     3.96527    37.56387
       131    51.47985   -50.53239   -22.52527
       132  -946.79211   -25.54517   -36.02860
       133   626.12476   -17.94615    37.57822
       134  -610.08917   -20.88302   -13.56461
       135   582.21118    24.04877    -7.75707
       136   509.89240     5.13594   -22.93559
       137  -410.93964    -5.81633    -2.75717
       138  1578.07739   -54.98564    31.12932
       139  -285.09714  -105.04729    -1.57168
       140   246.73410   -38.69121    13.02042
       141 -1982.94495    48.79530   -79.35150
       142   263.84067    39.58053    39.80083
       143  -496.70676   -19.65203    27.96321
       144   584.43597    -2.19352    69.19794
       145    63.17604     2.63118     7.50472
       146  -550.72565    78.42966   -19.09908
       147   445.69647    -9.02719    11.95900
       148  -538.18884   -36.38448   -17.69770
       149   -61.10552   -72.31553   -39.91408
       150  -608.54224   -54.42457   -31.43859
       151   326.18790    33.78908     9.12868
       152   598.40479   -85.32610    -6.62292
       153 -1004.70239    27.84335    -7.31086
       154   134.05367   -45.92780   -42.57421
       155  -418.32101  -138.55338   -31.89870
       156   470.96332    10.36034    -1.47863
       157   595.65118     4.20281    46.12043
       158    54.29049    27.81156     6.45790
       159   788.67847    21.15390    12.10538
       160  -851.29211    19.86152   -38.76376
       161 -1604.26868    81.24964     0.18417
       162  -184.80365   171.03864     5.52634
       163  1093.70093    64.35050    21.56020
       164  1248.34326    13.84000    23.20691
       165 -1124.59778    93.08127   -25.20020
       166  -450.21808   -39.10493   -64.32080
       167   -69.26617    17.74309    27.35522
       168   761.05011    60.93362    44.78921
       169   711.94501   -27.43288    46.77370
       170  -823.61292   -45.73304   -65.32471
       171   177.83968   -22.00215    26.51026
       172  -717.85980    -2.88483    18.61584
       173  -190.13019    71.79739     4.94360
       174  1035.47070   -19.94517    23.81189
       175 -1192.97571    17.19775    -4.01760
       176   218.96277    39.06910    21.10578
       177   -28.13530    11.27971     3.87493
       178  1642.52271   -28.26810    32.09983
       179  1216.39331   -17.95865    39.05286
       180  -354.33871    91.74924    33.92638
       181   154.30408    -3.65957    -0.92158
       182  -773.39380    71.44118     2.99604
       183 -1138.63354   -28.56452   -31.88664
       184    14.98618    16.71690    17.09198
       185  -847.69159    11.20156   -37.87082
       186   -44.82948    17.67680   -10.56093
       187  -644.79834  -136.98903    -0.75382
       188   419.46783   -18.91492    27.61196
       189  1631.57239    43.46960    82.42184
       190   110.92927   -77.12051   -36.24061
       191 -1646.37659    97.63048     6.85967
       192  -427.01535    31.32036   -12.67511
       193   521.05621    -9.91338    32.57332
       194  -809.62384   -17.83210   -28.62211
       195  -224.01294     8.61937   -24.53996
       196 -1625.55615    73.21742   -23.16334
       197   114.26899    57.56707     2.14124
       198  -251.58612    25.26986     8.44120
       199 -1980.75757  -112.61561   -59.23660
       200  -198.12471    86.77981    11.55572
       201   639.36646   -57.78004     9.75922
       202  -925.36481    23.33139   -33.93800
       203   577.06854   -75.79285    24.73803
       204   173.19339   -20.83891   -18.71917
       205   373.44308   -33.77449   -22.41932
       206  -339.27542    47.23324    10.43073
       207   649.81927   -69.55098     8.09604
       208  -478.50262    54.74895   -13.70488
       209  -787.36682    31.99476   -18.04180
       210  -563.58191   -33.61206   -31.34265
       211  -655.58337    43.48076    27.58844
       212 -1344.64624     5.83505     0.58455
       213   200.31276    -2.91959   -43.29745
       214    19.68592   -28.29931   -13.75281
       215   283.94885    16.69028    33.75402
       216   -59.40641    12.37853   -40.40751
       217 -1054.61572    85.42729    -5.05898
       218    30.46151    57.54907     6.99480
       219  -500.10785    10.67443    15.03818
       220  -400.66165    24.42766   -33.93172
       221 -2323.11328   -45.78446   -75.27207
       222   408.26334    63.53796    19.30236
       223   594.94159    10.87856    55.02676
       224   779.31049     3.31509    31.17814
       225   748.84180    -0.46681     5.79005
       226   459.99411    76.69854    69.15152
       227  3024.56250   -22.53907    78.30148
       228   364.05328  -109.86903   -21.69380
       229   935.16003   122.51063    23.69580
       230  1257.86438   -35.45501    27.56320
       231   162.68057     4.49228    12.23512
       232  1667.51868  -174.73563   -10.24440
       233  -274.75665   -89.35490   -31.13087
       234   -83.39719    40.28522   -19.44860
       235 -1015.06128    33.95055     5.00027
       236  1056.65088   -89.13258     2.53106
       237  -772.53577    25.45432     2.40273
       238   525.66284    -4.33021   -12.05268
       239  -417.94000   -73.58747   -72.21607
       240   153.30701   -32.00157   -23.56395
       241   173.59070   -45.14723    47.09503
       242   463.55960    22.53748    -6.72424
       243  -126.00967    -2.29107    39.20227
       244 -1509.62415    24.11275    11.92750
       245   332.20450    54.83106    14.87431
       246  -653.87439   -45.83614   -26.93793
       247  -264.86978     4.47901   -37.34312
       248   -53.13533   135.64758     4.22379
       249   755.42273   -30.77780    51.91769
       250  -799.73822  -117.99972   -51.60613
       251 -1262.79053    13.42237    -5.43962
       252 -1295.97900     5.79212   -30.57188
       253   252.30818   -22.54436     9.57289
       254   -36.33612    13.11846    -7.67198
       255  1740.29785     4.43241    55.61132
       256  -249.33200    19.50255    13.96754
       257  1069.15063    10.25940    43.63485
       258  -570.05750     6.00079     4.39555
       259   999.48730    60.13612    14.99600
       260  -126.86341    22.05043     8.56493
       261  -725.35413   107.52526    20.43497
       262  -597.85522    -0.53303    11.52073
       263   413.12219   118.50107     7.95218
       264   574.17645    11.39538    11.28972
       265   475.08041    22.74612    11.09125
