#Frequency	Mic 1	Mic 2
10.000	0.654	0.192
11.000	0.127	0.032
12.000	0.120	0.030
13.000	0.146	0.031
14.000	0.155	0.033
15.000	0.175	0.036
16.000	0.159	0.033
17.000	0.163	0.030
18.000	0.160	0.029
19.000	0.175	0.035
20.000	0.190	0.035
21.000	0.224	0.033
22.000	0.244	0.035
23.000	0.253	0.034
24.000	0.280	0.043
25.000	0.327	0.044
26.000	0.353	0.045
27.000	0.403	0.045
28.000	0.443	0.053
29.000	0.498	0.047
30.000	0.581	0.057
31.000	0.646	0.058
32.000	0.761	0.069
33.000	0.846	0.070
34.000	0.983	0.086
35.000	1.132	0.083
36.000	1.289	0.097
37.000	1.520	0.113
38.000	1.706	0.132
39.000	1.891	0.141
40.000	2.122	0.160
41.000	2.205	0.173
42.000	2.253	0.182
43.000	2.224	0.179
44.000	2.128	0.178
45.000	1.943	0.178
46.000	1.802	0.163
47.000	1.670	0.156
48.000	1.485	0.154
49.000	1.393	0.138
50.000	1.274	0.133
51.000	1.194	0.130
52.000	1.123	0.127
53.000	1.054	0.124
54.000	0.983	0.117
55.000	0.928	0.118
56.000	0.894	0.117
57.000	0.841	0.117
58.000	0.810	0.116
59.000	0.774	0.114
60.000	0.760	0.116
61.000	0.720	0.117
62.000	0.680	0.119
63.000	0.652	0.113
64.000	0.630	0.116
65.000	0.601	0.112
66.000	0.571	0.115
67.000	0.544	0.115
68.000	0.532	0.121
69.000	0.508	0.125
70.000	0.471	0.122
71.000	0.425	0.122
72.000	0.374	0.121
73.000	0.337	0.115
74.000	0.301	0.115
75.000	0.283	0.112
76.000	0.246	0.118
77.000	0.221	0.110
78.000	0.199	0.115
79.000	0.180	0.108
80.000	0.163	0.111
81.000	0.156	0.117
82.000	0.131	0.111
83.000	0.113	0.116
84.000	0.119	0.118
85.000	0.130	0.119
86.000	0.141	0.119
87.000	0.161	0.122
88.000	0.181	0.126
89.000	0.212	0.122
90.000	0.241	0.127
91.000	0.273	0.133
92.000	0.298	0.132
93.000	0.323	0.135
94.000	0.362	0.145
95.000	0.386	0.140
96.000	0.415	0.144
97.000	0.454	0.149
98.000	0.471	0.148
99.000	0.514	0.146
100.000	0.576	0.157
101.000	0.630	0.159
102.000	0.696	0.176
103.000	0.749	0.187
104.000	0.814	0.189
105.000	0.886	0.197
106.000	0.930	0.208
107.000	1.006	0.219
108.000	1.103	0.228
109.000	1.168	0.241
110.000	1.269	0.253
111.000	1.378	0.265
112.000	1.461	0.279
113.000	1.629	0.300
114.000	1.753	0.325
115.000	1.890	0.337
116.000	2.094	0.378
117.000	2.249	0.397
118.000	2.506	0.440
119.000	2.730	0.469
120.000	2.961	0.505
121.000	3.268	0.559
122.000	3.497	0.601
123.000	3.698	0.634
124.000	3.873	0.668
125.000	3.912	0.689
126.000	3.890	0.700
127.000	3.821	0.692
128.000	3.625	0.671
129.000	3.412	0.632
130.000	3.153	0.592
131.000	2.921	0.561
132.000	2.686	0.516
133.000	2.465	0.486
134.000	2.252	0.452
135.000	2.064	0.419
136.000	1.926	0.401
137.000	1.768	0.378
138.000	1.663	0.363
139.000	1.561	0.346
140.000	1.454	0.332
141.000	1.367	0.324
142.000	1.302	0.313
143.000	1.215	0.303
144.000	1.153	0.291
145.000	1.088	0.286
146.000	1.029	0.277
147.000	0.980	0.272
148.000	0.915	0.272
149.000	0.866	0.259
150.000	0.825	0.267
151.000	0.787	0.264
152.000	0.749	0.266
153.000	0.706	0.267
154.000	0.645	0.264
155.000	0.601	0.255
156.000	0.550	0.253
157.000	0.492	0.245
158.000	0.451	0.238
159.000	0.409	0.238
160.000	0.375	0.235
161.000	0.343	0.230
162.000	0.311	0.229
163.000	0.286	0.230
164.000	0.259	0.229
165.000	0.232	0.229
166.000	0.221	0.227
167.000	0.204	0.230
168.000	0.187	0.230
169.000	0.187	0.236
170.000	0.200	0.238
171.000	0.218	0.233
172.000	0.232	0.237
173.000	0.263	0.244
174.000	0.284	0.245
175.000	0.320	0.249
176.000	0.345	0.250
177.000	0.378	0.253
