City,Country,Population (city),Population (metro area)
Shanghai,China,24.3,24.8
Lagos,Nigeria,21.3,21
Delhi,India,16.8,21.8
Istanbul,Turkey,14.4,14.4
Tokyo,Japan,13.3,36.9
Mumbai,India,12.5,20.7
Sao Paulo,Brazil,11.9,20.9
Beijing,China,21.5,21.1
Shenzhen,China,10.8,10.6
Seoul,South Korea,10.3,25.6
Jakarta,Indonesia,10,10.1
Guangzhou,China,9.9,23.9
Mexico City,Mexico,8.9,21.2
Lima,Peru,8.7,9.9
London,United Kingdom,8.5,14
New York City,United States,8.5,20.1
Bengaluru,India,8.4,8.7
Bangkok,Thailand,8.3,8.3
