x	y	rent
1.15096	6.58327	1851.96892
-4.31945	5.93869	729.08252
-1.07816	2.01874	797.46260
5.08562	5.10948	8385.26297
-3.78384	3.14318	741.21789
-8.23349	-8.60541	747.55356
8.51618	-3.63605	724.17330
8.45436	-0.28668	732.34243
0.95283	2.79526	748.40922
-2.98849	-3.27581	723.11054
5.54351	0.47720	739.79580
4.77664	7.65027	804.48834
-4.67292	-2.12609	751.08513
1.88688	-7.48456	921.97120
-6.39143	5.98835	792.76168
-9.53000	6.95729	796.77950
0.48148	6.40783	1310.28002
0.97296	-9.54064	918.12250
-2.49624	-6.96912	796.71610
-5.69804	7.79460	801.68433
4.61077	7.62111	788.06993
5.61737	-0.56445	721.49220
1.01373	0.57761	858.73619
-9.14858	-7.58757	1528.47897
-2.51847	5.84438	793.57890
9.33374	-2.06454	749.75783
-8.46581	0.60774	1276.16906
2.78802	-9.58674	746.56126
1.43211	-3.58801	845.25224
-7.79532	-9.56422	725.35430
5.91397	-2.29421	754.99448
9.85215	5.23193	763.87613
0.05947	2.00115	758.67332
0.05074	5.61274	1601.72759
8.16508	6.74205	682.74134
-5.90411	-4.99950	748.37482
-9.45087	9.13998	760.53108
8.21212	6.84581	731.98927
3.86726	4.18690	830.12735
1.35001	-5.83287	930.44292
-5.73589	6.84177	767.57742
6.57936	9.84293	743.58398
9.00912	-1.75380	721.62887
-8.08996	-1.76344	750.38409
4.06766	3.69750	819.31229
3.69787	-0.60917	720.60911
3.38145	8.64154	719.22804
-3.19387	0.86772	811.30846
2.25644	2.11877	775.42785
5.05164	8.83688	772.66810
1.83128	9.49431	759.51560
4.43906	-1.08366	793.62094
-5.87165	8.17730	716.79491
-4.03404	-4.67471	831.15300
-1.47369	-5.96939	878.15447
9.89462	7.01070	754.11398
4.47530	-5.94631	1049.98659
-2.54292	-2.13098	789.72484
-3.62187	1.41471	808.92095
6.12249	-9.78268	708.40137
-5.16564	4.22827	816.24375
-1.91119	5.13665	769.25389
-7.81595	-8.52922	768.67709
6.86466	-8.57223	742.07257
8.93264	3.94379	817.58596
5.43159	-8.56779	760.09139
0.36695	-5.06456	837.72357
-1.55709	-9.02964	790.39948
-1.05175	-2.79758	733.86959
-9.49444	-3.41869	806.04824
3.91051	-6.08213	965.48417
9.08306	2.62961	744.53159
-9.66459	3.13194	718.33158
9.59746	3.54533	763.84089
9.32066	9.16632	763.42861
6.29128	9.01473	767.29485
8.90966	4.83600	3643.28988
-4.90099	-8.73721	769.40165
3.56468	-8.02678	1083.79285
-6.95349	9.79975	720.91261
-1.26768	-4.91045	821.53264
9.62272	4.97439	973.85763
1.34885	-8.04840	824.74073
-8.37076	-6.25323	686.94945
-7.42812	4.09802	803.10723
4.82177	5.66281	950.53117
-8.65869	0.88810	1162.27435
-6.51548	-6.75227	735.90348
0.91553	5.04333	1041.34891
-7.00766	-2.75399	761.73366
1.75823	2.83618	691.27923
-4.46027	-6.35682	965.26712
-9.20149	5.83680	722.25269
-4.41406	6.12472	797.69566
-8.28593	4.71675	732.82038
-7.05007	-7.36613	785.05556
-4.96141	5.22383	718.09680
-1.35070	-1.39860	776.07757
9.78215	-4.42890	727.97565
4.06920	0.48330	813.17067
1.82417	-8.16119	890.16533
-3.68928	7.92601	744.02765
9.79098	-0.08160	753.42306
-4.29875	-2.96203	732.36949
4.18617	4.55397	899.13252
-1.19101	4.12546	774.07376
-9.34528	-4.93296	786.90012
-7.44806	-0.14381	1036.20550
1.83496	6.06542	1138.54945
-3.05402	-4.18025	743.29163
3.45203	3.12004	796.85822
-5.92997	-6.89274	809.09833
-6.95910	5.10283	787.92518
-9.41427	-3.65851	778.43695
-4.96916	2.19477	823.25290
-3.72837	3.86053	750.69640
8.72286	2.02635	803.90970
9.53129	-5.49191	780.82067
1.37507	-0.57445	1020.07946
-8.35738	2.06209	866.33883
7.53045	4.56915	861.87466
4.58793	8.21921	755.32811
9.53060	4.09391	842.90878
-7.94784	4.81980	781.13184
-6.25751	-8.16843	742.77675
5.71656	6.35971	804.64307
9.28537	4.80291	1518.63907
3.51089	-8.74941	856.61638
1.48192	-5.70314	956.14514
-9.76034	-9.62128	706.92487
6.39110	4.32046	937.08701
-0.11617	2.32597	741.76138
5.42456	9.57497	826.31277
-9.30301	-9.91288	717.96352
0.44305	-6.34803	1944.14698
0.53237	-7.61383	2409.90146
2.39685	7.73247	783.00184
0.30466	2.42450	751.95737
9.61541	-5.40109	761.40869
1.16443	-5.64067	878.67908
-9.04027	-7.24481	1079.58228
4.55659	-0.56217	704.08027
4.69596	6.92501	821.83660
-0.21472	5.97170	1097.82148
5.73492	7.58787	738.22293
7.66354	-1.28631	818.86571
-6.98811	-1.11974	800.55762
1.75871	7.71421	958.42617
-8.60601	-3.96615	727.17746
2.90096	3.00996	804.81790
0.52581	3.18309	733.02100
9.58512	3.60883	774.69115
-3.58390	-7.56086	757.43085
-6.38756	-2.25456	748.81965
3.95858	-4.55029	881.32283
-9.87420	-0.25003	788.94318
-9.10748	-1.14576	744.67946
2.60157	-5.02234	14209.98578
1.60595	-2.92168	855.49626
-7.25775	-6.86780	752.74958
-6.24178	-5.69883	749.43667
1.09234	-4.32833	860.51760
1.28549	5.02389	938.65161
-7.17691	-6.04532	737.05767
-2.01094	1.88302	800.18113
0.50711	9.51233	722.90313
-0.56771	-6.00446	2375.39181
6.77287	5.52803	823.23192
-8.29550	0.92135	4613.20192
-1.29960	7.78406	862.14313
8.04323	-4.58276	927.71411
2.34776	-4.54594	1262.34519
-1.04447	-3.16638	771.73226
6.24965	6.55690	765.42667
-1.04021	-7.25363	1511.78093
-8.32628	1.82111	948.95403
-1.92046	5.01309	744.08467
2.06941	-7.99000	866.07113
2.99793	-4.87762	1278.28773
-5.71560	-4.75666	748.53448
7.34858	8.69613	762.62897
-9.66138	8.44050	734.26940
-6.05410	3.36429	844.72748
6.51926	-3.84481	797.04834
-2.62139	-3.58708	789.34097
